academic_year,cohort,dynamic_flag_prevalence
2019-2020,7,0.7777777777777778
2020-2021,7,0.8666666666666667
2020-2021,8,0.7777777777777778
2021-2022,7,0.8888888888888888
2021-2022,8,0.9111111111111111
2021-2022,9,0.9111111111111111
2022-2023,7,0.8222222222222222
2022-2023,8,0.9111111111111111
2022-2023,9,0.9333333333333333
2022-2023,10,0.8222222222222222
2023-2024,7,0.8666666666666667
2023-2024,8,0.8444444444444444
2023-2024,9,0.7555555555555555
2023-2024,10,0.8666666666666667
2023-2024,11,0.8444444444444444
2024-2025,7,0.8666666666666667
2024-2025,8,0.7777777777777778
2024-2025,9,0.8888888888888888
2024-2025,10,0.8444444444444444
2024-2025,11,0.8222222222222222
2024-2025,12,0.7333333333333333
