student_id,academic_year,flag_name,flag_type
02ec1f8c-cb16-4af4-83dc-0c4f8f5f2569,2019-2020,EAL,static
02ec1f8c-cb16-4af4-83dc-0c4f8f5f2569,2020-2021,EAL,static
02ec1f8c-cb16-4af4-83dc-0c4f8f5f2569,2021-2022,EAL,static
02ec1f8c-cb16-4af4-83dc-0c4f8f5f2569,2022-2023,EAL,static
02ec1f8c-cb16-4af4-83dc-0c4f8f5f2569,2023-2024,EAL,static
02ec1f8c-cb16-4af4-83dc-0c4f8f5f2569,2024-2025,EAL,static
02ec1f8c-cb16-4af4-83dc-0c4f8f5f2569,2019-2020,Adopted,static
02ec1f8c-cb16-4af4-83dc-0c4f8f5f2569,2020-2021,Adopted,static
02ec1f8c-cb16-4af4-83dc-0c4f8f5f2569,2021-2022,Adopted,static
02ec1f8c-cb16-4af4-83dc-0c4f8f5f2569,2022-2023,Adopted,static
02ec1f8c-cb16-4af4-83dc-0c4f8f5f2569,2023-2024,Adopted,static
02ec1f8c-cb16-4af4-83dc-0c4f8f5f2569,2024-2025,Adopted,static
043edbab-e1b9-49ab-baf3-00336ff48c36,2023-2024,Gifted & Talented,static
043edbab-e1b9-49ab-baf3-00336ff48c36,2024-2025,Gifted & Talented,static
0ca9da23-ab43-4841-9688-cccf1fd73445,2021-2022,Speech/Language Need,static
0ca9da23-ab43-4841-9688-cccf1fd73445,2022-2023,Speech/Language Need,static
0ca9da23-ab43-4841-9688-cccf1fd73445,2023-2024,Speech/Language Need,static
0ca9da23-ab43-4841-9688-cccf1fd73445,2024-2025,Speech/Language Need,static
0edf8d9c-0172-4f0b-bd65-9b6d0e4c2daa,2022-2023,ASC Diagnosis,static
0edf8d9c-0172-4f0b-bd65-9b6d0e4c2daa,2023-2024,ASC Diagnosis,static
0edf8d9c-0172-4f0b-bd65-9b6d0e4c2daa,2024-2025,ASC Diagnosis,static
10ccaacb-f8c7-4cca-bb51-5f0f748af3cb,2023-2024,Young Carer,static
10ccaacb-f8c7-4cca-bb51-5f0f748af3cb,2024-2025,Young Carer,static
10ccaacb-f8c7-4cca-bb51-5f0f748af3cb,2023-2024,Dyspraxia,static
10ccaacb-f8c7-4cca-bb51-5f0f748af3cb,2024-2025,Dyspraxia,static
1289904d-4d67-42b4-bd4f-46bdb1af4e1f,2022-2023,Autism Spectrum (ASC),static
1289904d-4d67-42b4-bd4f-46bdb1af4e1f,2023-2024,Autism Spectrum (ASC),static
1289904d-4d67-42b4-bd4f-46bdb1af4e1f,2024-2025,Autism Spectrum (ASC),static
17eeb27e-41fe-4b6e-9b33-6772c1fb7b61,2022-2023,EAL,static
17eeb27e-41fe-4b6e-9b33-6772c1fb7b61,2023-2024,EAL,static
17eeb27e-41fe-4b6e-9b33-6772c1fb7b61,2024-2025,EAL,static
195e33f4-ce7c-4cc3-b077-4b011441dfab,2023-2024,Visual Impairment,static
195e33f4-ce7c-4cc3-b077-4b011441dfab,2024-2025,Visual Impairment,static
19e7bb52-a242-408a-b54f-f0c82b5e8a78,2019-2020,ASC Diagnosis,static
19e7bb52-a242-408a-b54f-f0c82b5e8a78,2020-2021,ASC Diagnosis,static
19e7bb52-a242-408a-b54f-f0c82b5e8a78,2021-2022,ASC Diagnosis,static
19e7bb52-a242-408a-b54f-f0c82b5e8a78,2022-2023,ASC Diagnosis,static
