student_id,academic_year,year_start,cohort,sub_cohort,start_cohort,progression_cohort,status
1,2019–2020,2019,7,A,7A,8.0,active
2,2019–2020,2019,7,A,7A,8.0,active
3,2019–2020,2019,7,A,7A,8.0,active
4,2019–2020,2019,7,A,7A,8.0,active
5,2019–2020,2019,7,A,7A,8.0,active
6,2019–2020,2019,7,A,7A,8.0,active
7,2019–2020,2019,7,A,7A,8.0,active
8,2019–2020,2019,7,A,7A,8.0,active
9,2019–2020,2019,7,A,7A,8.0,active
10,2019–2020,2019,7,A,7A,8.0,active
11,2019–2020,2019,7,A,7A,8.0,active
12,2019–2020,2019,7,A,7A,8.0,active
13,2019–2020,2019,7,A,7A,8.0,active
14,2019–2020,2019,7,A,7A,8.0,active
15,2019–2020,2019,7,A,7A,8.0,active
16,2019–2020,2019,7,B,7B,8.0,active
17,2019–2020,2019,7,B,7B,8.0,active
18,2019–2020,2019,7,B,7B,8.0,active
19,2019–2020,2019,7,B,7B,8.0,active
20,2019–2020,2019,7,B,7B,8.0,active
21,2019–2020,2019,7,B,7B,8.0,active
22,2019–2020,2019,7,B,7B,8.0,active
23,2019–2020,2019,7,B,7B,8.0,active
24,2019–2020,2019,7,B,7B,8.0,active
25,2019–2020,2019,7,B,7B,8.0,active
26,2019–2020,2019,7,B,7B,8.0,active
27,2019–2020,2019,7,B,7B,8.0,active
28,2019–2020,2019,7,B,7B,8.0,active
29,2019–2020,2019,7,B,7B,8.0,active
30,2019–2020,2019,7,B,7B,8.0,active
31,2019–2020,2019,7,C,7C,8.0,active
32,2019–2020,2019,7,C,7C,8.0,active
33,2019–2020,2019,7,C,7C,8.0,active
34,2019–2020,2019,7,C,7C,8.0,active
35,2019–2020,2019,7,C,7C,8.0,active
36,2019–2020,2019,7,C,7C,8.0,active
37,2019–2020,2019,7,C,7C,8.0,active
38,2019–2020,2019,7,C,7C,8.0,active
39,2019–2020,2019,7,C,7C,8.0,active
40,2019–2020,2019,7,C,7C,8.0,active
41,2019–2020,2019,7,C,7C,8.0,active
42,2019–2020,2019,7,C,7C,8.0,active
43,2019–2020,2019,7,C,7C,8.0,active
44,2019–2020,2019,7,C,7C,8.0,active
45,2019–2020,2019,7,C,7C,8.0,active
46,2019–2020,2019,8,A,8A,9.0,active
47,2019–2020,2019,8,A,8A,9.0,active
48,2019–2020,2019,8,A,8A,9.0,active
49,2019–2020,2019,8,A,8A,9.0,active
50,2019–2020,2019,8,A,8A,9.0,active
51,2019–2020,2019,8,A,8A,9.0,active
52,2019–2020,2019,8,A,8A,9.0,active
53,2019–2020,2019,8,A,8A,9.0,active
54,2019–2020,2019,8,A,8A,9.0,active
55,2019–2020,2019,8,A,8A,9.0,active
56,2019–2020,2019,8,A,8A,9.0,active
57,2019–2020,2019,8,A,8A,9.0,active
58,2019–2020,2019,8,A,8A,9.0,active
59,2019–2020,2019,8,A,8A,9.0,active
60,2019–2020,2019,8,A,8A,9.0,active
61,2019–2020,2019,8,B,8B,9.0,active
62,2019–2020,2019,8,B,8B,9.0,active
63,2019–2020,2019,8,B,8B,9.0,active
64,2019–2020,2019,8,B,8B,9.0,active
65,2019–2020,2019,8,B,8B,9.0,active
66,2019–2020,2019,8,B,8B,9.0,active
67,2019–2020,2019,8,B,8B,9.0,active
68,2019–2020,2019,8,B,8B,9.0,active
69,2019–2020,2019,8,B,8B,9.0,active
70,2019–2020,2019,8,B,8B,9.0,active
71,2019–2020,2019,8,B,8B,9.0,active
72,2019–2020,2019,8,B,8B,9.0,active
73,2019–2020,2019,8,B,8B,9.0,active
74,2019–2020,2019,8,B,8B,9.0,active
75,2019–2020,2019,8,B,8B,9.0,active
76,2019–2020,2019,8,C,8C,9.0,active
77,2019–2020,2019,8,C,8C,9.0,active
78,2019–2020,2019,8,C,8C,9.0,active
79,2019–2020,2019,8,C,8C,9.0,active
80,2019–2020,2019,8,C,8C,9.0,active
81,2019–2020,2019,8,C,8C,9.0,active
82,2019–2020,2019,8,C,8C,9.0,active
83,2019–2020,2019,8,C,8C,9.0,active
84,2019–2020,2019,8,C,8C,9.0,active
85,2019–2020,2019,8,C,8C,9.0,active
86,2019–2020,2019,8,C,8C,9.0,active
87,2019–2020,2019,8,C,8C,9.0,active
88,2019–2020,2019,8,C,8C,9.0,active
89,2019–2020,2019,8,C,8C,9.0,active
90,2019–2020,2019,8,C,8C,9.0,active
91,2019–2020,2019,9,A,9A,10.0,active
92,2019–2020,2019,9,A,9A,10.0,active
93,2019–2020,2019,9,A,9A,10.0,active
94,2019–2020,2019,9,A,9A,10.0,active
95,2019–2020,2019,9,A,9A,10.0,active
96,2019–2020,2019,9,A,9A,10.0,active
97,2019–2020,2019,9,A,9A,10.0,active
98,2019–2020,2019,9,A,9A,10.0,active
99,2019–2020,2019,9,A,9A,10.0,active
100,2019–2020,2019,9,A,9A,10.0,active
101,2019–2020,2019,9,A,9A,10.0,active
102,2019–2020,2019,9,A,9A,10.0,active
103,2019–2020,2019,9,A,9A,10.0,active
104,2019–2020,2019,9,A,9A,10.0,active
105,2019–2020,2019,9,A,9A,10.0,active
106,2019–2020,2019,9,B,9B,10.0,active
107,2019–2020,2019,9,B,9B,10.0,active
108,2019–2020,2019,9,B,9B,10.0,active
109,2019–2020,2019,9,B,9B,10.0,active
110,2019–2020,2019,9,B,9B,10.0,active
111,2019–2020,2019,9,B,9B,10.0,active
112,2019–2020,2019,9,B,9B,10.0,active
113,2019–2020,2019,9,B,9B,10.0,active
114,2019–2020,2019,9,B,9B,10.0,active
115,2019–2020,2019,9,B,9B,10.0,active
116,2019–2020,2019,9,B,9B,10.0,active
117,2019–2020,2019,9,B,9B,10.0,active
118,2019–2020,2019,9,B,9B,10.0,active
119,2019–2020,2019,9,B,9B,10.0,active
120,2019–2020,2019,9,B,9B,10.0,active
121,2019–2020,2019,9,C,9C,10.0,active
122,2019–2020,2019,9,C,9C,10.0,active
123,2019–2020,2019,9,C,9C,10.0,active
124,2019–2020,2019,9,C,9C,10.0,active
125,2019–2020,2019,9,C,9C,10.0,active
126,2019–2020,2019,9,C,9C,10.0,active
127,2019–2020,2019,9,C,9C,10.0,active
128,2019–2020,2019,9,C,9C,10.0,active
129,2019–2020,2019,9,C,9C,10.0,active
130,2019–2020,2019,9,C,9C,10.0,active
131,2019–2020,2019,9,C,9C,10.0,active
132,2019–2020,2019,9,C,9C,10.0,active
133,2019–2020,2019,9,C,9C,10.0,active
134,2019–2020,2019,9,C,9C,10.0,active
135,2019–2020,2019,9,C,9C,10.0,active
136,2019–2020,2019,10,A,10A,11.0,active
137,2019–2020,2019,10,A,10A,11.0,active
138,2019–2020,2019,10,A,10A,11.0,active
139,2019–2020,2019,10,A,10A,11.0,active
140,2019–2020,2019,10,A,10A,11.0,active
141,2019–2020,2019,10,A,10A,11.0,active
142,2019–2020,2019,10,A,10A,11.0,active
143,2019–2020,2019,10,A,10A,11.0,active
144,2019–2020,2019,10,A,10A,11.0,active
145,2019–2020,2019,10,A,10A,11.0,active
146,2019–2020,2019,10,A,10A,11.0,active
147,2019–2020,2019,10,A,10A,11.0,active
148,2019–2020,2019,10,A,10A,11.0,active
149,2019–2020,2019,10,A,10A,11.0,active
150,2019–2020,2019,10,A,10A,11.0,active
151,2019–2020,2019,10,B,10B,11.0,active
152,2019–2020,2019,10,B,10B,11.0,active
153,2019–2020,2019,10,B,10B,11.0,active
154,2019–2020,2019,10,B,10B,11.0,active
155,2019–2020,2019,10,B,10B,11.0,active
156,2019–2020,2019,10,B,10B,11.0,active
157,2019–2020,2019,10,B,10B,11.0,active
158,2019–2020,2019,10,B,10B,11.0,active
159,2019–2020,2019,10,B,10B,11.0,active
160,2019–2020,2019,10,B,10B,11.0,active
161,2019–2020,2019,10,B,10B,11.0,active
162,2019–2020,2019,10,B,10B,11.0,active
163,2019–2020,2019,10,B,10B,11.0,active
164,2019–2020,2019,10,B,10B,11.0,active
165,2019–2020,2019,10,B,10B,11.0,active
166,2019–2020,2019,10,C,10C,11.0,active
167,2019–2020,2019,10,C,10C,11.0,active
168,2019–2020,2019,10,C,10C,11.0,active
169,2019–2020,2019,10,C,10C,11.0,active
170,2019–2020,2019,10,C,10C,11.0,active
171,2019–2020,2019,10,C,10C,11.0,active
172,2019–2020,2019,10,C,10C,11.0,active
173,2019–2020,2019,10,C,10C,11.0,active
174,2019–2020,2019,10,C,10C,11.0,active
175,2019–2020,2019,10,C,10C,11.0,active
176,2019–2020,2019,10,C,10C,11.0,active
177,2019–2020,2019,10,C,10C,11.0,active
178,2019–2020,2019,10,C,10C,11.0,active
179,2019–2020,2019,10,C,10C,11.0,active
180,2019–2020,2019,10,C,10C,11.0,active
181,2019–2020,2019,11,A,11A,12.0,active
182,2019–2020,2019,11,A,11A,12.0,active
183,2019–2020,2019,11,A,11A,12.0,active
184,2019–2020,2019,11,A,11A,12.0,active
185,2019–2020,2019,11,A,11A,12.0,active
186,2019–2020,2019,11,A,11A,12.0,active
187,2019–2020,2019,11,A,11A,12.0,active
188,2019–2020,2019,11,A,11A,12.0,active
189,2019–2020,2019,11,A,11A,12.0,active
190,2019–2020,2019,11,A,11A,12.0,active
191,2019–2020,2019,11,A,11A,12.0,active
192,2019–2020,2019,11,A,11A,12.0,active
193,2019–2020,2019,11,A,11A,12.0,active
194,2019–2020,2019,11,A,11A,12.0,active
195,2019–2020,2019,11,A,11A,12.0,active
196,2019–2020,2019,11,B,11B,12.0,active
197,2019–2020,2019,11,B,11B,12.0,active
198,2019–2020,2019,11,B,11B,12.0,active
199,2019–2020,2019,11,B,11B,12.0,active
200,2019–2020,2019,11,B,11B,12.0,active
201,2019–2020,2019,11,B,11B,12.0,active
202,2019–2020,2019,11,B,11B,12.0,active
203,2019–2020,2019,11,B,11B,12.0,active
204,2019–2020,2019,11,B,11B,12.0,active
205,2019–2020,2019,11,B,11B,12.0,active
206,2019–2020,2019,11,B,11B,12.0,active
207,2019–2020,2019,11,B,11B,12.0,active
208,2019–2020,2019,11,B,11B,12.0,active
209,2019–2020,2019,11,B,11B,12.0,active
210,2019–2020,2019,11,B,11B,12.0,active
211,2019–2020,2019,11,C,11C,12.0,active
212,2019–2020,2019,11,C,11C,12.0,active
213,2019–2020,2019,11,C,11C,12.0,active
214,2019–2020,2019,11,C,11C,12.0,active
215,2019–2020,2019,11,C,11C,12.0,active
216,2019–2020,2019,11,C,11C,12.0,active
217,2019–2020,2019,11,C,11C,12.0,active
218,2019–2020,2019,11,C,11C,12.0,active
219,2019–2020,2019,11,C,11C,12.0,active
220,2019–2020,2019,11,C,11C,12.0,active
221,2019–2020,2019,11,C,11C,12.0,active
222,2019–2020,2019,11,C,11C,12.0,active
223,2019–2020,2019,11,C,11C,12.0,active
224,2019–2020,2019,11,C,11C,12.0,active
225,2019–2020,2019,11,C,11C,12.0,active
226,2019–2020,2019,12,A,12A,,active
227,2019–2020,2019,12,A,12A,,active
228,2019–2020,2019,12,A,12A,,active
229,2019–2020,2019,12,A,12A,,active
230,2019–2020,2019,12,A,12A,,active
231,2019–2020,2019,12,A,12A,,active
232,2019–2020,2019,12,A,12A,,active
233,2019–2020,2019,12,A,12A,,active
234,2019–2020,2019,12,A,12A,,active
235,2019–2020,2019,12,A,12A,,active
236,2019–2020,2019,12,A,12A,,active
237,2019–2020,2019,12,A,12A,,active
238,2019–2020,2019,12,A,12A,,active
239,2019–2020,2019,12,A,12A,,active
240,2019–2020,2019,12,A,12A,,active
241,2019–2020,2019,12,B,12B,,active
242,2019–2020,2019,12,B,12B,,active
243,2019–2020,2019,12,B,12B,,active
244,2019–2020,2019,12,B,12B,,active
245,2019–2020,2019,12,B,12B,,active
246,2019–2020,2019,12,B,12B,,active
247,2019–2020,2019,12,B,12B,,active
248,2019–2020,2019,12,B,12B,,active
249,2019–2020,2019,12,B,12B,,active
250,2019–2020,2019,12,B,12B,,active
251,2019–2020,2019,12,B,12B,,active
252,2019–2020,2019,12,B,12B,,active
253,2019–2020,2019,12,B,12B,,active
254,2019–2020,2019,12,B,12B,,active
255,2019–2020,2019,12,B,12B,,active
256,2019–2020,2019,12,C,12C,,active
257,2019–2020,2019,12,C,12C,,active
258,2019–2020,2019,12,C,12C,,active
259,2019–2020,2019,12,C,12C,,active
260,2019–2020,2019,12,C,12C,,active
261,2019–2020,2019,12,C,12C,,active
262,2019–2020,2019,12,C,12C,,active
263,2019–2020,2019,12,C,12C,,active
264,2019–2020,2019,12,C,12C,,active
265,2019–2020,2019,12,C,12C,,active
266,2019–2020,2019,12,C,12C,,active
267,2019–2020,2019,12,C,12C,,active
268,2019–2020,2019,12,C,12C,,active
269,2019–2020,2019,12,C,12C,,active
270,2019–2020,2019,12,C,12C,,active
1,2020–2021,2020,8,A,7A,9.0,active
3,2020–2021,2020,8,A,7A,9.0,active
4,2020–2021,2020,8,A,7A,9.0,active
5,2020–2021,2020,8,A,7A,9.0,active
6,2020–2021,2020,8,A,7A,9.0,active
7,2020–2021,2020,8,A,7A,9.0,active
8,2020–2021,2020,8,A,7A,9.0,active
9,2020–2021,2020,8,A,7A,9.0,active
11,2020–2021,2020,8,A,7A,9.0,active
12,2020–2021,2020,8,A,7A,9.0,active
14,2020–2021,2020,8,A,7A,9.0,active
15,2020–2021,2020,8,A,7A,9.0,active
16,2020–2021,2020,8,B,7B,9.0,active
17,2020–2021,2020,8,B,7B,9.0,active
18,2020–2021,2020,8,B,7B,9.0,active
19,2020–2021,2020,8,B,7B,9.0,active
21,2020–2021,2020,8,B,7B,9.0,active
22,2020–2021,2020,8,B,7B,9.0,active
23,2020–2021,2020,8,B,7B,9.0,active
24,2020–2021,2020,8,B,7B,9.0,active
25,2020–2021,2020,8,B,7B,9.0,active
26,2020–2021,2020,8,B,7B,9.0,active
27,2020–2021,2020,8,B,7B,9.0,active
28,2020–2021,2020,8,B,7B,9.0,active
29,2020–2021,2020,8,B,7B,9.0,active
30,2020–2021,2020,8,B,7B,9.0,active
31,2020–2021,2020,8,C,7C,9.0,active
32,2020–2021,2020,8,C,7C,9.0,active
33,2020–2021,2020,8,C,7C,9.0,active
34,2020–2021,2020,8,C,7C,9.0,active
35,2020–2021,2020,8,C,7C,9.0,active
36,2020–2021,2020,8,C,7C,9.0,active
37,2020–2021,2020,8,C,7C,9.0,active
38,2020–2021,2020,8,C,7C,9.0,active
39,2020–2021,2020,8,C,7C,9.0,active
40,2020–2021,2020,8,C,7C,9.0,active
41,2020–2021,2020,8,C,7C,9.0,active
43,2020–2021,2020,8,C,7C,9.0,active
44,2020–2021,2020,8,C,7C,9.0,active
45,2020–2021,2020,8,C,7C,9.0,active
46,2020–2021,2020,9,A,8A,10.0,active
47,2020–2021,2020,9,A,8A,10.0,active
48,2020–2021,2020,9,A,8A,10.0,active
49,2020–2021,2020,9,A,8A,10.0,active
50,2020–2021,2020,9,A,8A,10.0,active
51,2020–2021,2020,9,A,8A,10.0,active
52,2020–2021,2020,9,A,8A,10.0,active
53,2020–2021,2020,9,A,8A,10.0,active
54,2020–2021,2020,9,A,8A,10.0,active
55,2020–2021,2020,9,A,8A,10.0,active
56,2020–2021,2020,9,A,8A,10.0,active
57,2020–2021,2020,9,A,8A,10.0,active
58,2020–2021,2020,9,A,8A,10.0,active
59,2020–2021,2020,9,A,8A,10.0,active
60,2020–2021,2020,9,A,8A,10.0,active
61,2020–2021,2020,9,B,8B,10.0,active
62,2020–2021,2020,9,B,8B,10.0,active
63,2020–2021,2020,9,B,8B,10.0,active
64,2020–2021,2020,9,B,8B,10.0,active
65,2020–2021,2020,9,B,8B,10.0,active
66,2020–2021,2020,9,B,8B,10.0,active
67,2020–2021,2020,9,B,8B,10.0,active
69,2020–2021,2020,9,B,8B,10.0,active
70,2020–2021,2020,9,B,8B,10.0,active
71,2020–2021,2020,9,B,8B,10.0,active
72,2020–2021,2020,9,B,8B,10.0,active
73,2020–2021,2020,9,B,8B,10.0,active
74,2020–2021,2020,9,B,8B,10.0,active
75,2020–2021,2020,9,B,8B,10.0,active
76,2020–2021,2020,9,C,8C,10.0,active
77,2020–2021,2020,9,C,8C,10.0,active
78,2020–2021,2020,9,C,8C,10.0,active
79,2020–2021,2020,9,C,8C,10.0,active
80,2020–2021,2020,9,C,8C,10.0,active
81,2020–2021,2020,9,C,8C,10.0,active
82,2020–2021,2020,9,C,8C,10.0,active
83,2020–2021,2020,9,C,8C,10.0,active
84,2020–2021,2020,9,C,8C,10.0,active
85,2020–2021,2020,9,C,8C,10.0,active
86,2020–2021,2020,9,C,8C,10.0,active
87,2020–2021,2020,9,C,8C,10.0,active
88,2020–2021,2020,9,C,8C,10.0,active
89,2020–2021,2020,9,C,8C,10.0,active
91,2020–2021,2020,10,A,9A,11.0,active
92,2020–2021,2020,10,A,9A,11.0,active
93,2020–2021,2020,10,A,9A,11.0,active
94,2020–2021,2020,10,A,9A,11.0,active
95,2020–2021,2020,10,A,9A,11.0,active
96,2020–2021,2020,10,A,9A,11.0,active
97,2020–2021,2020,10,A,9A,11.0,active
98,2020–2021,2020,10,A,9A,11.0,active
99,2020–2021,2020,10,A,9A,11.0,active
100,2020–2021,2020,10,A,9A,11.0,active
102,2020–2021,2020,10,A,9A,11.0,active
103,2020–2021,2020,10,A,9A,11.0,active
104,2020–2021,2020,10,A,9A,11.0,active
105,2020–2021,2020,10,A,9A,11.0,active
106,2020–2021,2020,10,B,9B,11.0,active
107,2020–2021,2020,10,B,9B,11.0,active
108,2020–2021,2020,10,B,9B,11.0,active
109,2020–2021,2020,10,B,9B,11.0,active
110,2020–2021,2020,10,B,9B,11.0,active
111,2020–2021,2020,10,B,9B,11.0,active
112,2020–2021,2020,10,B,9B,11.0,active
113,2020–2021,2020,10,B,9B,11.0,active
114,2020–2021,2020,10,B,9B,11.0,active
115,2020–2021,2020,10,B,9B,11.0,active
116,2020–2021,2020,10,B,9B,11.0,active
117,2020–2021,2020,10,B,9B,11.0,active
118,2020–2021,2020,10,B,9B,11.0,active
119,2020–2021,2020,10,B,9B,11.0,active
120,2020–2021,2020,10,B,9B,11.0,active
121,2020–2021,2020,10,C,9C,11.0,active
122,2020–2021,2020,10,C,9C,11.0,active
123,2020–2021,2020,10,C,9C,11.0,active
124,2020–2021,2020,10,C,9C,11.0,active
126,2020–2021,2020,10,C,9C,11.0,active
128,2020–2021,2020,10,C,9C,11.0,active
129,2020–2021,2020,10,C,9C,11.0,active
130,2020–2021,2020,10,C,9C,11.0,active
131,2020–2021,2020,10,C,9C,11.0,active
132,2020–2021,2020,10,C,9C,11.0,active
133,2020–2021,2020,10,C,9C,11.0,active
134,2020–2021,2020,10,C,9C,11.0,active
135,2020–2021,2020,10,C,9C,11.0,active
136,2020–2021,2020,11,A,10A,12.0,active
137,2020–2021,2020,11,A,10A,12.0,active
138,2020–2021,2020,11,A,10A,12.0,active
139,2020–2021,2020,11,A,10A,12.0,active
140,2020–2021,2020,11,A,10A,12.0,active
141,2020–2021,2020,11,A,10A,12.0,active
142,2020–2021,2020,11,A,10A,12.0,active
143,2020–2021,2020,11,A,10A,12.0,active
144,2020–2021,2020,11,A,10A,12.0,active
145,2020–2021,2020,11,A,10A,12.0,active
146,2020–2021,2020,11,A,10A,12.0,active
147,2020–2021,2020,11,A,10A,12.0,active
148,2020–2021,2020,11,A,10A,12.0,active
149,2020–2021,2020,11,A,10A,12.0,active
150,2020–2021,2020,11,A,10A,12.0,active
151,2020–2021,2020,11,B,10B,12.0,active
152,2020–2021,2020,11,B,10B,12.0,active
153,2020–2021,2020,11,B,10B,12.0,active
154,2020–2021,2020,11,B,10B,12.0,active
155,2020–2021,2020,11,B,10B,12.0,active
156,2020–2021,2020,11,B,10B,12.0,active
157,2020–2021,2020,11,B,10B,12.0,active
158,2020–2021,2020,11,B,10B,12.0,active
159,2020–2021,2020,11,B,10B,12.0,active
160,2020–2021,2020,11,B,10B,12.0,active
161,2020–2021,2020,11,B,10B,12.0,active
162,2020–2021,2020,11,B,10B,12.0,active
163,2020–2021,2020,11,B,10B,12.0,active
164,2020–2021,2020,11,B,10B,12.0,active
165,2020–2021,2020,11,B,10B,12.0,active
166,2020–2021,2020,11,C,10C,12.0,active
167,2020–2021,2020,11,C,10C,12.0,active
168,2020–2021,2020,11,C,10C,12.0,active
169,2020–2021,2020,11,C,10C,12.0,active
170,2020–2021,2020,11,C,10C,12.0,active
171,2020–2021,2020,11,C,10C,12.0,active
172,2020–2021,2020,11,C,10C,12.0,active
173,2020–2021,2020,11,C,10C,12.0,active
174,2020–2021,2020,11,C,10C,12.0,active
175,2020–2021,2020,11,C,10C,12.0,active
176,2020–2021,2020,11,C,10C,12.0,active
177,2020–2021,2020,11,C,10C,12.0,active
178,2020–2021,2020,11,C,10C,12.0,active
179,2020–2021,2020,11,C,10C,12.0,active
180,2020–2021,2020,11,C,10C,12.0,active
181,2020–2021,2020,12,A,11A,,active
182,2020–2021,2020,12,A,11A,,active
183,2020–2021,2020,12,A,11A,,active
184,2020–2021,2020,12,A,11A,,active
185,2020–2021,2020,12,A,11A,,active
186,2020–2021,2020,12,A,11A,,active
187,2020–2021,2020,12,A,11A,,active
188,2020–2021,2020,12,A,11A,,active
189,2020–2021,2020,12,A,11A,,active
190,2020–2021,2020,12,A,11A,,active
191,2020–2021,2020,12,A,11A,,active
192,2020–2021,2020,12,A,11A,,active
193,2020–2021,2020,12,A,11A,,active
194,2020–2021,2020,12,A,11A,,active
195,2020–2021,2020,12,A,11A,,active
