academic_year,calendar_year,term_name,term_id,week_number,week_start,week_end
2019–2020,2019,Autumn,2019_Autumn,1,2019-09-01,2019-09-07
2019–2020,2019,Autumn,2019_Autumn,2,2019-09-08,2019-09-14
2019–2020,2019,Autumn,2019_Autumn,3,2019-09-15,2019-09-21
2019–2020,2019,Autumn,2019_Autumn,4,2019-09-22,2019-09-28
2019–2020,2019,Autumn,2019_Autumn,5,2019-09-29,2019-10-05
2019–2020,2019,Autumn,2019_Autumn,6,2019-10-06,2019-10-12
2019–2020,2019,Autumn,2019_Autumn,7,2019-10-13,2019-10-19
2019–2020,2019,Autumn,2019_Autumn,8,2019-10-20,2019-10-26
2019–2020,2019,Autumn,2019_Autumn,9,2019-10-27,2019-11-02
2019–2020,2019,Autumn,2019_Autumn,10,2019-11-03,2019-11-09
2019–2020,2019,Autumn,2019_Autumn,11,2019-11-10,2019-11-16
2019–2020,2019,Autumn,2019_Autumn,12,2019-11-17,2019-11-23
2019–2020,2019,Autumn,2019_Autumn,13,2019-11-24,2019-11-30
2019–2020,2019,Autumn,2019_Autumn,14,2019-12-01,2019-12-07
2019–2020,2019,Autumn,2019_Autumn,15,2019-12-08,2019-12-14
2019–2020,2019,Autumn,2019_Autumn,16,2019-12-15,2019-12-15
2019–2020,2020,Spring,2019_Spring,1,2020-01-06,2020-01-12
2019–2020,2020,Spring,2019_Spring,2,2020-01-13,2020-01-19
2019–2020,2020,Spring,2019_Spring,3,2020-01-20,2020-01-26
2019–2020,2020,Spring,2019_Spring,4,2020-01-27,2020-02-02
2019–2020,2020,Spring,2019_Spring,5,2020-02-03,2020-02-09
2019–2020,2020,Spring,2019_Spring,6,2020-02-10,2020-02-16
2019–2020,2020,Spring,2019_Spring,7,2020-02-17,2020-02-23
2019–2020,2020,Spring,2019_Spring,8,2020-02-24,2020-03-01
2019–2020,2020,Spring,2019_Spring,9,2020-03-02,2020-03-08
2019–2020,2020,Spring,2019_Spring,10,2020-03-09,2020-03-15
2019–2020,2020,Spring,2019_Spring,11,2020-03-16,2020-03-22
2019–2020,2020,Spring,2019_Spring,12,2020-03-23,2020-03-29
2019–2020,2020,Spring,2019_Spring,13,2020-03-30,2020-03-31
2019–2020,2019,Summer,2019_Summer,1,2019-04-20,2019-04-26
2019–2020,2019,Summer,2019_Summer,2,2019-04-27,2019-05-03
2019–2020,2019,Summer,2019_Summer,3,2019-05-04,2019-05-10
